Maracena,NOEL,LOPEZ,LINARES,13-06-2015,PSOE-A
Marchal,JUAN MANUEL,GARCIA,SEGURA,13-06-2015,P.P.
Moclín,JOSEFA,CABA,PEREZ,13-06-2015,PSOE-A
Molvízar,FRANCISCO FERMIN,GARCIA,PUENTEDURA,13-06-2015,P.P.
Monachil,JOSE,MORALES,MORALES,13-06-2015,PSOE-A
Montefrío,MARIA REMEDIOS,GAMEZ,MUÑOZ,13-06-2015,PSOE-A
Montejícar,FRANCISCO JAVIER,JIMENEZ,ARBOL,13-06-2015,PSOE-A
Montillana,JUAN,RODELA,MUÑOZ,13-06-2015,P.P.
Moraleda de Zafayona,MARIA DEL CARMEN,CANTERO,GONZALEZ,13-06-2015,IULV-CA
Motril,MARIA FLOR,ALMON,FERNANDEZ,13-06-2015,PSOE-A
Murtas,JOSE MIGUEL,ROMERA,RODRIGUEZ,13-06-2015,P.P.
Nigüelas,RITA,RODRIGUEZ,RICA,13-06-2015,PSOE-A
Nívar,RAFAEL,LEYVA,LOPEZ,13-06-2015,GIN
Ogíjares,FRANCISCO,PLATA,PLATA,13-06-2015,APPO
Orce,JOSE RAMON,MARTINEZ,OLIVARES,03-07-2015,IULV-CA
Órgiva,MARIA ANGELES,BLANCO,LOPEZ,13-06-2015,PSOE-A
Otívar,FRANCISCO,ROBLES,CARRASCOSA,13-06-2015,P.P.
Otura,NAZARIO,MONTES,PARDO,13-06-2015,PSOE-A
Padul,MANUEL,ALARCON,PEREZ,13-06-2015,PSOE-A
Pampaneira,ANGEL,PEREZ,RODRIGUEZ,13-06-2015,PSOE-A
Pedro Martínez,JUAN ANTONIO,FERNANDEZ,VACA,13-06-2015,PSOE-A
Peligros,ROBERTO CARLOS,GARCÍA,JIMÉNEZ,13-06-2015,PG
"Peza, La",CELIA,SANTIAGO,BUENDÍA,13-06-2015,P.P.
Pinos Genil,GABRIEL,GOMEZ,MESA,13-06-2015,PGI
Pinos Puente,JOSE ENRIQUE,MEDINA,RAMIREZ,13-06-2015,PSOE-A
Píñar,ELOY,GARCÍA,CUENCA,13-06-2015,PG
Polícar,MARCOS,NAVARRO,GONZALEZ,13-06-2015,P.P.
Polopos,MATIAS,GONZALEZ,BRAOS,13-06-2015,P.P.
Pórtugos,JOSE JAVIER,VAZQUEZ,MARTIN,13-06-2015,P.P.
Puebla de Don Fadrique,MARIANO,GARCIA,CASTILLO,13-06-2015,P.P.
Pulianas,JOSE ANTONIO,CARRANZA,RUIZ,13-06-2015,PSOE-A
Purullena,JORGE,GARCIA,ALONSO,19-06-2017,PSOE-A
Quéntar,FRANCISCO JOSE,MARTIN,HEREDIA,14-12-2016,C's
Rubite,ARSENIO,VAZQUEZ,MORENO,13-06-2015,PSOE-A
Salar,ARMANDO,MOYA,CASTILLA,13-06-2015,IULV-CA
Salobreña,MARIA EUGENIA,RUFINO,MORALES,13-06-2015,PSOE-A
Santa Cruz del Comercio,ANGELES,JIMENEZ,MARTIN,13-06-2015,PSOE-A
Santa Fe,MANUEL ALBERTO,GIL,CORRAL,13-06-2015,PSOE-A
Soportújar,MANUEL,ROMERO,FUNES,19-01-2018,PSOE-A
Sorvilán,MARIA PILAR,SANCHEZ,SABIO,13-06-2015,PSOE-A
Torre-Cardela,CONCEPCION,MORENO,ALFARO,13-06-2015,PSOE-A
Torvizcón,JUAN DAVID,MORENO,SALAS,13-06-2015,PSOE-A
Trevélez,VICTOR,EXPOSITO,FERNANDEZ,13-06-2015,IULV-CA
Turón,JUAN,VARGAS,LOPEZ,13-06-2015,P.P.
Ugíjar,FEDERICO,LOPEZ,MALDONADO,13-06-2015,PSOE-A
Válor,MARIA ASUNCION,MARTINEZ,FERNANDEZ,13-06-2015,PSOE-A
Vélez de Benaudalla,FRANCISCO,GUTIERREZ,BAUTISTA,13-06-2015,PSOE-A
Ventas de Huelma,LUIS MIGUEL,ORTIZ,AREVALO,13-06-2015,PSOE-A
Villanueva de las Torres,JOSE,VALLEJO,NAVARRO,13-06-2015,PSOE-A
Villanueva Mesía,JOSE ANTONIO,DURAN,ORTIZ,13-06-2015,PSOE-A
Víznar,JOAQUÍN,CABALLERO,ALFONSO,13-06-2015,PG
Zafarraya,ROSANA,MOLINA,MOLINA,13-06-2015,PSOE-A
"Zubia, La",ANTONIO,MOLINA,LOPEZ,13-06-2015,PG
Zújar,JUAN JOSE,PEREZ,PEREZ,01-08-2017,PSOE-A
"Taha, La",MARCELO,AVILES,GOMEZ,13-06-2015,P.P.
"Valle, El",JUAN ANTONIO,PALOMINO,MOLINA,13-06-2015,PSOE-A
Nevada,MARIA DOLORES,PASTOR,MANZANO,04-10-2017,PSOE-A
Alpujarra de la Sierra,JOSE ANTONIO,GOMEZ,GOMEZ,13-06-2015,PSOE-A
"Gabias, Las",MARIA VANESSA,POLO,GIL,13-06-2015,PSOE-A
"Guajares, Los",ANTONIO,MANCILLA,MANCILLA,24-03-2017,P.P.
Valle del Zalabí,MANUEL,ARANDA,DELGADO,13-06-2015,PSOE-A
Villamena,FRANCISCO,GARCIA,PUGA,13-06-2015,PSOE-A
Morelábor,JOSE,MONTALVO,MONTALVO,13-06-2015,P.P.
"Pinar, El",CARLOS,DELGADO,FAJARDO,13-06-2015,P.P.
Vegas del Genil,LEANDRO,MARTIN,LOPEZ,29-06-2015,PSOE-A
Cuevas del Campo,CARMEN ROCIO,MARTINEZ,RODENAS,03-07-2015,PSOE-A
Zagra,MARIA JOSEFA,GAMIZ,GUERRERO,13-06-2015,PSOE-A
Valderrubio,FRANCISCA,BLANCO,MARTIN,13-06-2015,PSOE-A
Dehesas Viejas,LUCRECIA,RIENDA,LOZANO,13-06-2015,PG
